Year,State,SEIFA_Quintile,Actual,Adjusted
2008,WA,Q4,23.3300476495322,30.6507060389638
2008,WA,Q5,24.8145398838052,32.6010121752111
2009,ACT,Q1,26.0632275132275,36.0209738579198
2009,ACT,Q4,26.6893003943014,36.8862448559521
2009,ACT,Q5,27.2919195423876,37.7191013610983
2009,Aus,Q1,20.0756983920193,27.0529874141005
2009,Aus,Q2,21.8346975028106,29.4233249175056
2009,Aus,Q3,22.2847045495079,30.0297314660019
2009,Aus,Q4,23.395726396875,31.5268878521309
2009,Aus,Q5,25.2000381765495,33.9582863974513
2009,NSW,Q1,19.4364576147873,26.3852204510732
2009,NSW,Q2,20.4338958861019,27.7392546684479
2009,NSW,Q3,21.0638055187799,28.594364424138
2009,NSW,Q4,22.607548836303,30.6900141850147
2009,NSW,Q5,24.9165633643325,33.8245286399757
2009,NT,Q1,29.5448049476181,38.5015112720634
2009,NT,Q2,31.2248808916595,40.6909135379478
2009,NT,Q3,28.7203947042198,37.4271755187802
2009,NT,Q4,32.0368813545508,41.749077402301
2009,NT,Q5,32.0511831522073,41.7677148861042
2009,Qld,Q1,20.5830234113372,27.6578314319842
2009,Qld,Q2,24.0369322697037,32.2989197248498
2009,Qld,Q3,24.6196148442428,33.081882271357
2009,Qld,Q4,23.9347819990755,32.1616583075495
2009,Qld,Q5,24.6476984925796,33.1196188466003
2009,SA,Q1,16.796319115288,22.8620264494189
2009,SA,Q2,18.7324764586049,25.4973943588592
2009,SA,Q3,19.0213224437367,25.8905521993697
2009,SA,Q4,20.0875382471219,27.3418138555973
2009,SA,Q5,21.7127821142197,29.5539871312601
2009,Tas,Q1,22.0498191804437,30.738476012854
2009,Tas,Q2,23.0748838493476,32.1674639550621
2009,Tas,Q3,22.9536339618717,31.9984359586311
2009,Tas,Q4,23.5385058658381,32.813774662479
2009,Tas,Q5,25.73025505487,35.8691752225434
2009,Vic,Q1,20.4459481355744,27.5178563204782
2009,Vic,Q2,20.5924622591327,27.7150472051593
2009,Vic,Q3,21.2077421305879,28.5431419937852
2009,Vic,Q4,23.0517138080609,31.0249123349438
2009,Vic,Q5,25.3134322859429,34.0689210401913
2009,WA,Q1,22.3792209092269,28.5749714548757
2009,WA,Q2,23.7768501089343,30.3595382478007
2009,WA,Q3,24.4135367397345,31.1724933714225
2009,WA,Q4,24.9778361834587,31.8930207106817
2009,WA,Q5,26.6798321220175,34.0662190341578
2010,ACT,Q1,28.7960844698636,38.1814750824278
2010,ACT,Q4,29.0554305337519,38.525348753393
2010,ACT,Q5,30.2921332120377,40.1651249022912
2010,Aus,Q1,21.8258761742497,29.0166277024716
2010,Aus,Q2,23.6144663943082,31.3944867223513
2010,Aus,Q3,24.0166296315147,31.9291466295403
2010,Aus,Q4,25.2803343407831,33.6091913975924
2010,Aus,Q5,27.1923333212675,36.1511174188568
2010,NSW,Q1,21.0253200627099,28.3007639569847
2010,NSW,Q2,22.1866720323994,29.8639814427177
2010,NSW,Q3,22.8020866006996,30.6923494476378
2010,NSW,Q4,24.5208995006581,33.0059274584772
2010,NSW,Q5,26.5468401110496,35.7329093467219
2010,NT,Q1,31.4608031343253,42.1250517391977
2010,NT,Q2,33.7178365298455,45.1471503219148
2010,NT,Q3,30.0594728526286,40.2487134153431
2010,NT,Q4,35.0737969109725,46.9627397386057
2010,NT,Q5,35.5875594793729,47.6506520809297
2010,Qld,Q1,22.4559254053632,29.8603052913877
2010,Qld,Q2,26.0407958176037,34.6272130454543
2010,Qld,Q3,26.2926726726219,34.9621411168167
2010,Qld,Q4,25.7600521735358,34.253899954626
2010,Qld,Q5,26.6707225002603,35.4648451054015
2010,SA,Q1,18.8297801037971,25.172788067955
2010,SA,Q2,20.6458076073632,27.6005633909196
2010,SA,Q3,21.0834568489586,28.1856393475188
2010,SA,Q4,22.5339096962808,30.124692375591
2010,SA,Q5,24.5363619978045,32.8016916355177
2010,Tas,Q1,23.726714486123,32.8364181403616
2010,Tas,Q2,25.1997043634935,34.8749520283192
2010,Tas,Q3,24.952786446111,34.53323172877
2010,Tas,Q4,25.7266253898471,35.6041806435333
2010,Tas,Q5,27.7734905510245,38.4369251581044
2010,Vic,Q1,22.0985410414437,29.2667216268672
2010,Vic,Q2,22.0395936224577,29.188653228648
2010,Vic,Q3,23.0276598332046,30.4972219112869
2010,Vic,Q4,24.6754055212931,32.679452596775
